,0,Unique,NaNs,Total_IV
EA_CODE,float64,2129.0,0.0,0.010995882551027573
SAL_CODE,float64,1797.0,0.0,0.21517198257104106
SP_NAME,object,653.0,0.0,2.377328446162791
SP_NBH_ID,object,669.0,0.0,2.327769199102801
MP_NAME,object,172.0,0.0,2.2989010913905883
MN_NAME,object,72.0,0.0,1.761555781005804
MN_TYPE,object,2.0,0.0,0.5805033888232175
DC_NAME,object,43.0,0.0,1.9909828022153033
PR_NAME,object,9.0,0.0,0.6634688385218006
TOTAL_HH17,float64,1794.0,0.0,0.43695062701221565
W_M_INC17,float64,1842.0,0.0,1.289349225150421
P_NLI1,float64,1696.0,0.0,2.447159389075942
P_NLI2,float64,1695.0,0.0,1.5777348111799898
P_NLI3,float64,1754.0,0.0,0.10905711810390759
P_NLI4,float64,1772.0,0.0,0.6914985660176975
P_NLI5,float64,1329.0,0.0,1.0219407902842181
P_NLI6,float64,1784.0,0.0,1.2631347740557752
P_NLI7,float64,1337.0,0.0,1.5179960930224552
P_NLI8,float64,1337.0,0.0,1.5199442362269895
P_NLI9,float64,1745.0,0.0,1.387683363512942
P_NLI10,float64,1610.0,0.0,1.1172481491824013
HH_NLI1,float64,1984.0,0.0,0.5733503164256969
HH_NLI2,float64,1990.0,0.0,0.4277580810093363
HH_NLI3,float64,1993.0,0.0,0.3908489295918532
HH_NLI4,float64,1988.0,0.0,0.7526811711531027
HH_NLI5,float64,1929.0,0.0,0.9598737920133299
HH_NLI6,float64,1971.0,0.0,0.9256913746384188
HH_NLI7,float64,1895.0,0.0,1.1417264598880643
HH_NLI8,float64,1894.0,0.0,1.1417264598880643
HH_NLI9,float64,1903.0,0.0,1.165435158473805
HH_NLI10,float64,1792.0,0.0,1.1877927372780788
MODE_NLI,object,6.0,112.0,1.0059381171712882
NLI17V2,float64,11.0,0.0,1.381234206299402
AREA_KM2,float64,2129.0,0.0,2.1150968932765286
POP_KM2,float64,2027.0,0.0,1.2612103389438685
T_N_POP,int64,888.0,0.0,0.41891581704895536
D_POP_CHAN,int64,869.0,0.0,0.5041510329647907
AGE0_4,float64,2003.0,0.0,0.30825200623785676
AGE5_9,float64,1990.0,0.0,0.31533268748686344
AGE10_14,float64,1984.0,0.0,0.27465950326567545
AGE15_19,float64,1994.0,0.0,0.3707286479631351
AGE20_24,float64,2004.0,0.0,0.41259034698658265
AGE25_29,float64,2008.0,0.0,0.2844409705644486
AGE30_34,float64,2007.0,0.0,0.38183208597362017
AGE35_39,float64,1990.0,0.0,0.3814694128985875
AGE40_44,float64,1986.0,0.0,0.378161716547158
AGE45_49,float64,1987.0,0.0,0.34976203086750013
AGE50_54,float64,1983.0,0.0,0.33243235925889275
AGE55_59,float64,1977.0,0.0,0.38363527288771215
AGE60_64,float64,1928.0,0.0,0.3709106462189551
AGE65_69,float64,1865.0,0.0,0.38332371676080673
AGE70_74,float64,1768.0,0.0,0.388787155324134
AGE75_79,float64,1570.0,0.0,0.26667064453047823
AGE80OVER,float64,1471.0,0.0,0.10705398077535458
population,float64,735.0,18.0,0.5901916630299179
pd,float64,1787.0,18.0,1.8531800097285784
atoll_area,float64,1787.0,18.0,1.1444797312232136
no_income,float64,1265.0,18.0,0.2712420427996059
r_1___r_4800,float64,635.0,18.0,0.686465783324657
r_4801___r_9600,float64,799.0,18.0,1.613368659808572
r_9601___r_19_600,float64,1191.0,18.0,1.508559135050834
r_19_601___r_38_200,float64,1270.0,18.0,1.3997383961637242
r_38_201___r_76_400,float64,1228.0,18.0,0.5102611653609028
r_76_401___r_153_800,float64,1296.0,18.0,0.4100369114200862
r_153_801___r_307_600,float64,1366.0,18.0,1.1929738765493911
r_307_601___r_614_400,float64,1365.0,18.0,1.9174159126469827
r_614_001___r_1_228_800,float64,1263.0,18.0,1.6402145936520394
r_1_228_801___r_2_457_600,float64,959.0,18.0,0.7894779905848829
r_2_457_601_or_more,float64,739.0,18.0,0.6852825748041568
internet_access_from_home,float64,1484.0,18.0,2.0376630878482924
internet_access_from_cell_phone,float64,1402.0,18.0,0.24902195845520728
internet_access_from_work,float64,1386.0,18.0,1.6843456760410627
internet_access_from_elsewhere,float64,995.0,18.0,0.38989819679586873
internet_access_no_access_to_in,float64,1503.0,18.0,1.6097171092204956
internet_access_grand_total,float64,419.0,18.0,0.4029794924693326
formal_residential,float64,66.0,18.0,1.1783483120136686
informal_residential,float64,2.0,18.0,0.14442283778610449
traditional_residential,float64,5.0,18.0,0.016021982868366542
farms,float64,2.0,18.0,0.7290047412629981
parks_and_recreation,float64,7.0,18.0,0.016021982868366542
collective_living_quarters,float64,24.0,18.0,0.016021982868366542
industrial,float64,15.0,18.0,0.016021982868366542
small_holdings,float64,5.0,18.0,0.016021982868366542
vacant,float64,20.0,18.0,0.016021982868366542
commercial,float64,32.0,18.0,0.016021982868366542
cellphone_perc,float64,1038.0,18.0,0.7733319335516762
computer_perc,float64,1516.0,18.0,2.3128879973285237
dvd_perc,float64,1450.0,18.0,1.5555559069926137
land_line_perc,float64,1547.0,18.0,1.0161970856769027
radio_perc,float64,1452.0,18.0,1.148117806711911
sat_tv_perc,float64,1506.0,18.0,1.5215150661049524
tv_perc,float64,1260.0,18.0,1.6213143361817988
human_label,float64,3.0,992.0,6.237009787623357
avg_monthly_sales,float64,403.0,991.0,0.6597602538037741
avg_monthly_sales_psk,float64,1138.0,991.0,3.375237112116558
num_sales,float64,136.0,991.0,1.584949817403436
sales_psk,float64,1138.0,991.0,4.991272581880006
D_NW_RESD_KM2,float64,2020.0,0.0,1.1000354360137368
D_LEARNERS_KM2,float64,323.0,0.0,0.0053533247340252395
D_FORMAL_KM2,float64,1437.0,0.0,0.22359287528981797
D_DOMESTIC_KM2,float64,1883.0,0.0,2.011477196215189
D_TOT_WORK_KM2,float64,2059.0,0.0,1.163692906904864
D_MIGR_OUT_KM2,float64,2006.0,0.0,1.5387710051849677
D_MIGR_IN_KM2,float64,2059.0,0.0,1.163692906904864
sales_label,float64,2.0,1121.0,5.924250629406514
target_label,int64,2.0,0.0,
randfeature,float64,2129.0,0.0,0.012651300186636568
