,small_holdings,internet_access_from_work,population,HH_NLI9,r_38_201___r_76_400,D_DOMESTIC_KM2,no_income,pd,r_1___r_4800,collective_living_quarters,r_614_001___r_1_228_800,vacant,AGE50_54,AGE15_19,target_label,D_MIGR_IN_KM2,traditional_residential,cellphone_perc,HH_NLI8,parks_and_recreation,P_NLI1,D_POP_CHAN,industrial,AGE55_59,internet_access_from_elsewhere,internet_access_grand_total,HH_NLI7,commercial,HH_NLI1,AREA_KM2,r_2_457_601_or_more,P_NLI3,r_76_401___r_153_800,D_TOT_WORK_KM2,AGE70_74,internet_access_from_cell_phone,r_153_801___r_307_600,HH_NLI10,r_4801___r_9600,D_LEARNERS_KM2,MN_TYPE_woe,farms_woe,SP_NAME_woe,SAL_CODE_woe,MP_NAME_woe,PR_NAME_woe,DC_NAME_woe,informal_residential_woe,SP_NBH_ID_woe,MN_NAME_woe
202,0.0,0.289962825,763.0,20.8972501944,0.06319702599999999,1.0692378986686448,0.040892193,234.28099999999998,0.007434944000000001,0.0,0.115241636,0.0,32.562342864,31.0718006616,1,1.57918212726446,0.0,0.966542751,43.003336854,0.0,0.0420636659331,-246,0.026022305,15.6778155466,0.066914498,269.0,34.2353331885,0.0,14.410693912,1.96819245949,0.011152416,0.0792826729045,0.130111524,1.57918212726446,4.63244602957,0.26394052,0.304832714,38.47474025,0.011152416,4.918494333875766,0.6410842548783214,0.011153490242239912,6.651738496379445,-1.0493670158968553,-0.10198017826501271,-0.5857543741846176,0.011469520225011633,0.011153490242239912,6.661348821279233,0.008561696134811201
678,0.0,0.119402985,396.0,4.82403410767,0.111111111,1.6354568196192816,0.066666667,1504.99,0.022222222000000003,0.0,0.088888889,0.0,20.1409501058,19.5162864006,0,3.1073679572766353,0.0,0.9552238809999999,10.1447268025,0.0,0.0795874912702,-66,0.0,20.608254006,0.037313433,134.0,8.07630587759,0.0,8.15835247975,0.263942139378,0.0,0.157714788295,0.177777778,3.1073679572766353,6.54620017648,0.17164179100000002,0.222222222,7.66332077544,0.0074074069999999995,0.0,0.6410842548783214,0.011153490242239912,1.1704862642172478,-1.0493670158968553,-0.10198017826501271,-0.5857543741846176,0.011469520225011633,0.011153490242239912,1.2469128859688756,0.008561696134811201
986,0.0,0.153439153,650.0,7.13206350413,0.08556149699999999,3.879956157684639,0.06951871700000001,3170.78,0.005347594000000001,0.0,0.07486631,0.0,37.6910312186,43.6610279328,1,4.666433757215309,0.0,1.0,16.1543764283,0.0,0.11553820034,-172,0.0,23.7796227045,0.031746032,189.0,12.8606405906,0.0,15.8953402163,0.205644263931,0.005347594000000001,0.118286955568,0.13368984,4.666433757215309,0.0,0.227513228,0.219251337,15.9858188274,0.0,0.0,0.6410842548783214,0.011153490242239912,-0.7930860542875978,-1.0493670158968553,-0.10198017826501271,-0.5857543741846176,0.011469520225011633,0.011153490242239912,-0.7834313190617669,0.008561696134811201
987,0.0,0.15032679699999998,320.0,5.2561752679,0.15032679699999998,7.089559393842573,0.032679739,3837.48,0.006535948000000001,0.0,0.052287582,0.0,11.0823697081,16.8364399281,0,17.788349024550456,0.0,0.986928105,12.6144752786,0.0,0.0654053243783,-18,0.0,13.1767244586,0.006535948000000001,153.0,10.0424942749,0.0,9.9980389351,0.0836511635877,0.013071895,0.207879151365,0.267973856,17.788349024550456,10.239599463,0.248366013,0.215686275,10.5077800288,0.006535948000000001,0.0,0.6410842548783214,0.011153490242239912,-0.7930860542875978,-1.0493670158968553,-0.10198017826501271,-0.5857543741846176,0.011469520225011633,0.011153490242239912,-0.7834313190617669,0.008561696134811201
989,0.0,0.166666667,565.0,5.28180293038,0.060240964,3.1339654660258884,0.030120482,2295.96,0.006024096,0.0,0.036144578,0.0,18.6890850586,32.5030235926,0,7.066784874372101,0.0,0.976190476,16.2627655593,0.0,0.0462687063518,-127,0.0,22.8028428734,0.017857143,168.0,12.9469301273,0.0,5.86623245201,0.175461414535,0.006024096,0.105371745322,0.186746988,7.066784874372101,10.6251033418,0.321428571,0.331325301,6.88106172974,0.0,68.27128691676005,0.6410842548783214,0.011153490242239912,-0.7930860542875978,-1.0493670158968553,-0.10198017826501271,-0.5857543741846176,0.011469520225011633,0.011153490242239912,-0.7834313190617669,0.008561696134811201
1038,0.0,0.208201893,566.0,4.86139507949,0.103125,1.2903664629881755,0.08125,1263.5,0.021875,0.0,0.05625,0.0,13.1533943308,4.67679359828,0,5.441980300428392,0.0,0.9779179809999999,11.4597626532,0.0,0.0846854469272,28,0.0,14.5961841102,0.047318612,317.0,9.12321743838,0.0,12.7929547572,0.384635578463,0.009375,0.149210481215,0.1875,5.441980300428392,8.27001624515,0.211356467,0.30625,8.59635004521,0.0125,3.9272022786596645,0.6410842548783214,0.011153490242239912,-0.7930860542875978,-1.0493670158968553,-0.10198017826501271,-0.5857543741846176,0.011469520225011633,0.011153490242239912,-0.7834313190617669,0.008561696134811201
1136,0.0,0.153846154,636.0,1.52103742024,0.113712375,1.7818031434582338,0.046822742,1234.67,0.003344482,0.0,0.100334448,0.0,0.443160657608,0.339743695647,1,3.3090629807081484,0.0,0.929765886,2.10429968552,0.0,0.165340501792,-31,0.0,13.9314604159,0.010033445,299.0,1.67525141379,0.0,16.0566819595,0.0847855909032,0.010033445,0.275596440889,0.127090301,3.3090629807081484,16.98825201,0.053511706,0.224080268,2.9617480641,0.016722408,0.0,0.6410842548783214,0.011153490242239912,1.1704862642172478,-1.0493670158968553,-0.10198017826501271,-0.5857543741846176,0.011469520225011633,0.011153490242239912,1.2469128859688756,0.008561696134811201
1258,0.0,0.23571428600000002,405.0,4.83895919097,0.06474820099999999,3.0476321240462148,0.043165468,2609.72,0.0,0.0,0.079136691,0.0,18.0264474525,18.8067565737,1,3.0476321240462148,0.0,0.9642857140000001,11.6445108326,0.0,0.0852393183626,-114,0.0,17.4966107383,0.014285714,140.0,9.27029708238,0.0,8.66106324662,0.155678659001,0.014388488999999999,0.102934125517,0.12230215800000001,3.0476321240462148,3.62390700819,0.17857142899999998,0.287769784,7.70949103687,0.007194245,0.0,0.6410842548783214,0.011153490242239912,6.651738496379445,-1.0493670158968553,-0.10198017826501271,-0.5857543741846176,0.011469520225011633,0.011153490242239912,6.661348821279233,0.008561696134811201
1390,0.0,0.0,276.0,0.0,0.0,0.0,0.0,24.9327,0.0,0.0,0.0,0.5,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.5,0.0,0.340164399512,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.6410842548783214,0.011153490242239912,1.1704862642172478,-1.0493670158968553,-0.10198017826501271,-0.5857543741846176,0.011469520225011633,0.011153490242239912,6.661348821279233,0.008561696134811201
1431,0.0,0.10928961699999999,667.0,11.1282113522,0.038251366,3.720952081203898,0.038251366,2199.01,0.005464481,0.0,0.153005464,0.0,35.827583785,33.819457464,1,3.720952081203898,0.0,0.994535519,18.7911039283,0.0,0.0673353494624,-140,0.0,41.3556928046,0.032786885,183.0,14.9597624517,0.0,10.1114255372,0.304275557484,0.032786885,0.0630768188475,0.136612022,3.720952081203898,2.45645079111,0.163934426,0.24590163899999998,23.58408994,0.0,0.0,0.6410842548783214,0.011153490242239912,-0.7930860542875978,-1.0493670158968553,-0.10198017826501271,-0.5857543741846176,0.011469520225011633,0.011153490242239912,-0.7834313190617669,0.008561696134811201
