,TOTAL_HH17,W_M_INC17,P_NLI1,P_NLI2,P_NLI3,P_NLI4,P_NLI5,P_NLI6,P_NLI7,P_NLI8,P_NLI9,P_NLI10,HH_NLI1,HH_NLI2,HH_NLI3,HH_NLI4,HH_NLI5,HH_NLI6,HH_NLI7,HH_NLI8,HH_NLI9,HH_NLI10,NLI17V2,AREA_KM2,POP_KM2,T_N_POP,D_POP_CHAN,AGE0_4,AGE5_9,AGE10_14,AGE15_19,AGE20_24,AGE25_29,AGE30_34,AGE35_39,AGE40_44,AGE45_49,AGE50_54,AGE55_59,AGE60_64,AGE65_69,AGE70_74,AGE75_79,AGE80OVER,population,pd,atoll_area,no_income,r_1___r_4800,r_4801___r_9600,r_9601___r_19_600,r_19_601___r_38_200,r_38_201___r_76_400,r_76_401___r_153_800,r_153_801___r_307_600,r_307_601___r_614_400,r_614_001___r_1_228_800,r_1_228_801___r_2_457_600,r_2_457_601_or_more,internet_access_from_home,internet_access_from_cell_phone,internet_access_from_work,internet_access_from_elsewhere,internet_access_no_access_to_in,internet_access_grand_total,formal_residential,traditional_residential,parks_and_recreation,collective_living_quarters,industrial,small_holdings,vacant,commercial,cellphone_perc,computer_perc,dvd_perc,land_line_perc,radio_perc,sat_tv_perc,tv_perc,D_NW_RESD_KM2,D_LEARNERS_KM2,D_FORMAL_KM2,D_DOMESTIC_KM2,D_TOT_WORK_KM2,D_MIGR_OUT_KM2,D_MIGR_IN_KM2,target_label
202,342.59243916,542211.164157,0.0420636659331,0.0250761903171,0.0792826729045,0.12582760936,0.176681018741,0.152313222737,0.099930206494,0.125523309736,0.0609974062639,0.112304697513,14.410693912,8.59091320557,27.1616442935,43.1075876044,60.5295811638,52.1813584937,34.2353331885,43.003336854,20.8972501944,38.47474025,7.0,1.96819245949,414.593601386,816,-246,66.1728550656,43.2262720433,34.8000973343,31.0718006616,81.9158415099,186.829770165,163.841229776,60.5810942552,48.6353845766,21.1334046222,32.562342864,15.6778155466,15.0110136171,9.90863193314,4.63244602957,0.0,0.0,763.0,234.28099999999998,3.2567731380000002,0.040892193,0.007434944000000001,0.011152416,0.011152416,0.026022305,0.06319702599999999,0.130111524,0.304832714,0.260223048,0.115241636,0.018587361,0.011152416,0.275092937,0.26394052,0.289962825,0.066914498,0.10408921900000001,269.0,0.973977695,0.0,0.0,0.0,0.026022305,0.0,0.0,0.0,0.966542751,0.799256506,0.847583643,0.048327138,0.780669145,0.724907063,0.973977695,1.0253717284668542,4.918494333875766,0.5099442285958152,1.0692378986686448,1.57918212726446,2.928066860969519,1.57918212726446,1
678,102.507973923,400684.272872,0.0795874912702,0.0696441416162,0.157714788295,0.159872703971,0.123873210426,0.109736944332,0.078787098881,0.0989652454753,0.0470600863819,0.0747582893519,8.15835247975,7.13907985271,16.1670234058,16.3882269697,12.6979918242,11.248911828,8.07630587759,10.1447268025,4.82403410767,7.66332077544,6.0,0.263942139378,1129.03532836,298,-66,13.1935289919,21.0755141508,20.970696337,19.5162864006,15.2046812178,20.3580706119,21.8755896521,24.7582096167,23.2690988449,21.2812027835,20.1409501058,20.608254006,16.6751418949,16.821099606,6.54620017648,5.46573926785,10.2397363356,396.0,1504.99,0.26312445,0.066666667,0.022222222000000003,0.0074074069999999995,0.0074074069999999995,0.074074074,0.111111111,0.177777778,0.222222222,0.214814815,0.088888889,0.0074074069999999995,0.0,0.365671642,0.17164179100000002,0.119402985,0.037313433,0.313432836,134.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9552238809999999,0.76119403,0.850746269,0.537313433,0.9552238809999999,0.611940299,0.985074627,4.170414890029169,0.0,1.4719111376573537,1.6354568196192816,3.1073679572766353,5.80587170964845,3.1073679572766353,0
986,137.576491321,530656.872291,0.11553820034,0.0336409123637,0.118286955568,0.127803249366,0.1162236671,0.109569459509,0.0934799286351,0.117421052632,0.0518407137415,0.116195860746,15.8953402163,4.62819868784,16.2735043161,17.5827226272,15.9896443281,15.0741817952,12.8606405906,16.1543764283,7.13206350413,15.9858188274,7.0,0.205644263931,2246.59803862,462,-172,28.4314243808,37.2370846283,44.6005075625,43.6610279328,26.7519718581,26.3863370691,37.4948670868,42.7840889741,41.7730444293,48.1394424044,37.6910312186,23.7796227045,13.2195897734,7.34553240568,0.0,0.0,2.70442757159,650.0,3170.78,0.20499711199999998,0.06951871700000001,0.005347594000000001,0.0,0.090909091,0.016042781000000002,0.08556149699999999,0.13368984,0.219251337,0.262032086,0.07486631,0.037433155,0.005347594000000001,0.333333333,0.227513228,0.153439153,0.031746032,0.25925925899999996,189.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.756613757,0.8677248679999999,0.40211640200000004,0.8888888890000001,0.666666667,0.962962963,4.823729277121443,0.0,0.7864775995306701,3.879956157684639,4.666433757215309,13.68471023183366,4.666433757215309,1
987,152.862768133,413033.351511,0.0654053243783,0.0543632557638,0.207879151365,0.212131857136,0.111719289213,0.0971585269554,0.0656961430019,0.0825215677606,0.0343849279462,0.0687399564797,9.9980389351,8.31011776077,31.7769825147,32.427062891,17.077719803,14.8519213781,10.0424942749,12.6144752786,5.2561752679,10.5077800288,6.0,0.0836511635877,3777.59240215,316,-18,19.3513301989,19.7934108689,23.3065600483,16.8364399281,24.0344491998,38.7500583151,35.5062524976,28.2687466314,20.3575559565,19.093013233,11.0823697081,13.1767244586,7.99403615497,17.3655772992,10.239599463,2.01184685861,8.83202918009,320.0,3837.48,0.083388093,0.032679739,0.006535948000000001,0.006535948000000001,0.032679739,0.032679739,0.15032679699999998,0.267973856,0.215686275,0.18300653600000003,0.052287582,0.006535948000000001,0.013071895,0.215686275,0.248366013,0.15032679699999998,0.006535948000000001,0.385620915,153.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.986928105,0.568627451,0.8888888890000001,0.28758169899999997,0.8954248370000001,0.529411765,0.986928105,13.921316627909054,0.0,10.698789630707882,7.089559393842573,17.788349024550456,20.1085684625353,17.788349024550456,0
989,126.786178274,463336.991419,0.0462687063518,0.0202056284028,0.105371745322,0.168443223209,0.178871475876,0.154521629204,0.102116258283,0.128269230769,0.0416591382618,0.0542729643202,5.86623245201,2.56179440481,13.3596808874,21.3562725268,22.6784308284,19.5912068274,12.9469301273,16.2627655593,5.28180293038,6.88106172974,6.0,0.175461414535,2422.18496372,425,-127,35.9278555335,29.5727884646,28.2756587089,32.5030235926,23.1140093769,33.4183778111,30.9968914696,43.2951826923,43.4184403568,35.5922546633,18.6890850586,22.8028428734,20.8970245925,6.78113323669,10.6251033418,7.1033726948,1.98695553244,565.0,2295.96,0.24608432600000002,0.030120482,0.006024096,0.0,0.030120482,0.006024096,0.060240964,0.186746988,0.331325301,0.289156627,0.036144578,0.018072289,0.006024096,0.244047619,0.321428571,0.166666667,0.017857143,0.244047619,168.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976190476,0.7023809520000001,0.875,0.404761905,0.845238095,0.660714286,0.9523809520000001,6.452281841818006,68.27128691676005,3.932819408346213,3.1339654660258884,7.066784874372101,14.870973387809117,7.066784874372101,0
1038,151.064382622,386179.187241,0.0846854469272,0.0513907745178,0.149210481215,0.17323321673,0.176984501157,0.139156392113,0.0603929085069,0.0758601230436,0.0321809482493,0.0569052075411,12.7929547572,7.76331562503,22.5403892255,26.169368935,26.736054401,21.0215744625,9.12321743838,11.4597626532,4.86139507949,8.59635004521,6.0,0.384635578463,683.764099647,263,28,14.3088257594,5.94776798115,4.77868677335,4.67679359828,27.3296440105,51.4962244879,33.813348373,17.3354867646,13.6463900508,8.40383660301,13.1533943308,14.5961841102,14.0790743602,10.1306225453,8.27001624515,8.12434424982,12.9093597565,566.0,1263.5,0.447960755,0.08125,0.021875,0.0125,0.021875,0.04375,0.103125,0.1875,0.30625,0.153125,0.05625,0.003125,0.009375,0.26813880100000004,0.211356467,0.208201893,0.047318612,0.264984227,317.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9779179809999999,0.728706625,0.753943218,0.432176656,0.9211356470000001,0.545741325,0.955835962,2.3563213671957985,3.9272022786596645,4.151613837440217,1.2903664629881755,5.441980300428392,4.656539844696459,5.441980300428392,0
1136,97.1128174008,206959.050394,0.165340501792,0.120262650146,0.275596440889,0.188156122978,0.0955952240218,0.0699692858979,0.0172505695811,0.0216686091686,0.0156625815309,0.0304980139941,16.0566819595,11.6790447838,26.7639468404,18.2723712136,9.28352153481,6.79491448507,1.67525141379,2.10429968552,1.52103742024,2.9617480641,4.0,0.0847855909032,1262.00689127,107,-31,0.331191266734,0.207228109887,0.468754766722,0.339743695647,0.411391627269,0.500414480525,0.247760123315,0.482840322849,0.577562693571,0.487031565091,0.443160657608,13.9314604159,12.9836812762,15.251997857,16.98825201,16.3849965225,26.9625326092,636.0,1234.67,0.515117467,0.046822742,0.003344482,0.016722408,0.063545151,0.123745819,0.113712375,0.127090301,0.224080268,0.157190635,0.100334448,0.013377926000000002,0.010033445,0.267558528,0.053511706,0.153846154,0.010033445,0.518394649,299.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.929765886,0.585284281,0.72909699,0.74916388,0.969899666,0.6989966559999999,0.963210702,6.236311002103817,0.0,1.5272598372499147,1.7818031434582338,3.3090629807081484,7.254484226937094,3.3090629807081484,1
1258,101.60878117,470380.072714,0.0852393183626,0.0353838816299,0.102934125517,0.144107720874,0.162883281026,0.140117359578,0.0912351961671,0.114601422224,0.0476234350539,0.0758742595676,8.66106324662,3.59531308549,10.4590110346,14.6426098752,16.5503716581,14.2371541275,9.27029708238,11.6445108326,4.83895919097,7.70949103687,6.0,0.155678659001,1676.53037144,261,-114,18.8017073297,21.9697501947,18.5557022524,18.8067565737,9.642458529,4.85638838539,27.748812486,25.5283517478,25.51427177,20.7103229725,18.0264474525,17.4966107383,8.65311374015,8.92422285761,3.62390700819,4.35543181388,7.78574414842,405.0,2609.72,0.15518927400000002,0.043165468,0.0,0.007194245,0.06474820099999999,0.028776977999999998,0.06474820099999999,0.12230215800000001,0.287769784,0.287769784,0.079136691,0.0,0.014388488999999999,0.33571428600000003,0.17857142899999998,0.23571428600000002,0.014285714,0.23571428600000002,140.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857140000001,0.7857142859999999,0.857142857,0.46428571399999996,0.921428571,0.692857143,0.985714286,3.5324826892353856,0.0,0.0,3.0476321240462148,3.0476321240462148,10.943769899984137,3.0476321240462148,1
1390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.340164399512,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,24.9327,11.06979191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1431,150.165189873,623774.983487,0.0673353494624,0.0235397050752,0.0630768188475,0.118525911617,0.142397052449,0.129206132779,0.0996220393307,0.125136217949,0.0741064647645,0.157054307726,10.1114255372,3.53484428217,9.47194247884,17.7984660229,21.3830804184,19.4022634616,14.9597624517,18.7911039283,11.1282113522,23.58408994,8.0,0.304275557484,1824.00454571,555,-140,35.0103376096,48.6122314398,51.4572399103,33.819457464,53.5221007141,37.5875630335,47.8959459409,46.7328990911,45.5727364522,42.5093402273,35.827583785,41.3556928046,18.0031292358,10.5850064983,2.45645079111,1.17642544714,2.87585955516,667.0,2199.01,0.30331878,0.038251366,0.005464481,0.0,0.049180327999999995,0.027322403999999998,0.038251366,0.136612022,0.24590163899999998,0.273224044,0.153005464,0.0,0.032786885,0.44262295100000004,0.163934426,0.10928961699999999,0.032786885,0.25136612,183.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994535519,0.770491803,0.8907103829999999,0.5355191260000001,0.93989071,0.8087431690000001,0.9726775959999999,6.83946430164145,0.0,0.0,3.720952081203898,3.720952081203898,8.682221522809096,3.720952081203898,1
